,,,,Start Date,End Date,Funder,,,,,,,,,,,,,,,,Age + # Participants
Program,Organization,Location,Page, (dd/mm/yyyy), (dd/mm/yyyy),HNZ,NSF,BND,FNE,GGL,BHL,GRB,PGH,MCN,SPR,DOE,AVD,AUG,BMB,Other (name),Arena ,PreSchool,Elementary,MS,HS,Adult,TOTAL,Geo,Connections/Dialogues,Collaborating Partners,Affiliations ,Comments,Themes,Tags
Gigapan,Inupiat Heritage Center,"Barrow, AK",Gigapan Alaska,1/3/2009,1/4/2011,,,,,,,,,,,1,,,,,Informal Education,,,,5,5,10,Regional,,,,Point Hope Whale Festival gigapan documentation; Elders and Youth Conference led 4 workshops; training of Heritage Center staff to take gigapans into North Slope villages working with youth on cultural documentation projects
Charge Car,CREATE Lab - GHC Highbay,Pittsburgh PA,Charge Car Community ,03/2010,03/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,100,100,Regional,,,,"ALL CHARGE CAR EVENTS - Confirm Funding Sources with Illah; Open House 3/26/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,06/2010,06/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 6/18/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,06/2010,06/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 6/25/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,07/2010,07/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 7/9/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,07/2010,07/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 7/16/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,07/2010,07/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 7/23/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,07/2010,07/2010,,,,,,,,,,,,,1,,,Civic Engagement,,,,,30,30,Regional,,,,"ChargeCar Cookout 7/30/2010, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,Charge Car Community,03/2011,03/2011,,,,,,,,,,,,,1,,,Civic Engagement,,,,,70,70,Regional,,,,"Open House 3/25/2011, Rough Estimate # of Participants"
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,ChargeCar Education,10/2010,10/2010,,,,,,,,,,,,,1,,,Formal Education,,,,19,1,20,Regional,,Pittsburgh SciTech Academy,,SciTech Academy Class Visit 10/28/2010
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,ChargeCar Education,04/2011,04/2011,,,,,,,,,,,,,1,,,Informal Education,,,40,,6,46,Regional,,,,Take Your Child to Work Day 4/29/2011
Charge Car,CREATE Lab - Electric Garage,Pittsburgh PA,ChargeCar Education,04/2011,04/2011,,,,,,,,,,,,,1,,,Formal Education,,40,,,,40,Regional,,CMU - Cyert Center,,Illah's Cyert Center Tour 4/2011
Finch,Franklin Regional HS,Murrysville PA,Finch,3/1/2009,,1,1,,,,,,,,,,1,,,,Formal Education,,,,30,1,31,Regional
Finch,West Allegheny HS,"Imperial, PA",Finch,3/1/2009,,1,1,,,,,,,,,,1,,,,Formal Education,,,,30,1,31,Regional
Finch,CCAC,Pittsburgh PA,Finch,1/1/2009,,1,1,,,,,,,,,,1,,,,Formal Education,,,,,180,180,Regional
Finch,Spectrum Charter,"Monroeville, PA",Finch,5/1/2010,,1,1,,,,,,,,,,,,,,Formal Education,,,,3,1,4,Regional
Finch,Northside Urban Pathways,Pittsburgh PA,Finch,5/1/2010,,1,1,,,,,,,,,,,,,,Formal Education,,,,20,1,21,Regional
Finch,PROPEL Braddock Hills,"Braddock Hills, PA",Finch,9/1/2010,,1,1,,,,,,,,,,,,,,Formal Education,,,,10,1,11,Regional
Finch,Career Connections,Pittsburgh PA,Finch,5/1/2010,,1,1,,,,,,,,,,,,,,Formal Education,,,,20,1,21,Regional
Finch,Saint Xavier High School,"Louisville, KY",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National,,,,8 students for some partners is based on survey results and is probably a low number
Finch,TATA Corporation,"Cincinnati, OH",Finch,3/1/2009,8/1/2010,1,1,,,,,,,,,,,,,,Formal Education,,,,20,2,22,Regional
Finch,Seacoast School of Technology,"Exeter, NH",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National
Finch,American Embassy School,"New Delhi, India",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,International
Finch,Farmington High School,"Farmington, CT",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National
Finch,Episcopal School of Dallas,"Dallas, TX",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National
Finch,Dana Hall School,"Wellesley, MA",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National
Finch,Norfolk Technical Center,"Norfolk, VA",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,National
Finch,North Olmsted High School,"North Olmsted, OH",Finch,3/1/2009,1/1/2010,1,1,,,,,,,,,,1,,,,Formal Education,,,,8,1,9,Regional
Finch,Computing Workshop,Pittsburgh PA,Finch,3/1/2009,9/1/2010,1,1,,,,,,,,,,,,,,Formal Education,,,,10,1,11,Regional
Finch,University of Oklahoma,"Norman, OK",Finch,8/1/2009,,1,1,,,,,,,,,,,,,,Formal Education,,,,,70,70,National
Finch,Hilliard Davidson HS,"Hilliard, OH",Finch,2/1/2010,12/1/2010,1,1,,,,,,,,,,,,,,Formal Education,,,,5,1,6,Regional
